Species ,Age,Rep,Temp,Alive,Dead
Littoraria ardouiniana,3,1,29.5,22,0
Littoraria ardouiniana,3,1,31.7,22,0
Littoraria ardouiniana,3,1,34.1,18,1
Littoraria ardouiniana,3,1,36.6,21,0
Littoraria ardouiniana,3,1,37.5,20,0
Littoraria ardouiniana,3,1,42.1,20,1
Littoraria ardouiniana,3,1,44.8,3,18
Littoraria ardouiniana,3,1,47.8,0,22
Littoraria ardouiniana,3,1,51.3,0,20
Littoraria ardouiniana,3,1,54.4,0,23
Littoraria ardouiniana,3,1,29,20,0
Littoraria ardouiniana,3,1,31.8,21,0
Littoraria ardouiniana,3,1,34,23,0
Littoraria ardouiniana,3,1,36.6,21,0
Littoraria ardouiniana,3,1,39.5,21,1
Littoraria ardouiniana,3,1,42.4,22,0
Littoraria ardouiniana,3,1,45.2,5,13
Littoraria ardouiniana,3,1,48.5,0,20
Littoraria ardouiniana,3,1,51.4,0,23
Littoraria ardouiniana,3,1,54.6,0,20
Littoraria ardouiniana,3,1,29.2,20,0
Littoraria ardouiniana,3,1,31.6,20,1
Littoraria ardouiniana,3,1,34.4,19,1
Littoraria ardouiniana,3,1,36.5,23,0
Littoraria ardouiniana,3,1,39.7,18,1
Littoraria ardouiniana,3,1,42.4,22,0
Littoraria ardouiniana,3,1,45.5,3,16
Littoraria ardouiniana,3,1,48.5,0,22
Littoraria ardouiniana,3,1,51.2,0,20
Littoraria ardouiniana,3,1,54.4,0,21
Littoraria ardouiniana,3,2,27.2,21,0
Littoraria ardouiniana,3,2,29.8,21,0
Littoraria ardouiniana,3,2,32.6,21,0
Littoraria ardouiniana,3,2,35.3,21,0
Littoraria ardouiniana,3,2,38.2,22,0
Littoraria ardouiniana,3,2,40.9,17,1
Littoraria ardouiniana,3,2,44,22,2
Littoraria ardouiniana,3,2,47.3,0,21
Littoraria ardouiniana,3,2,50.6,0,23
Littoraria ardouiniana,3,2,53.7,0,22
Littoraria ardouiniana,3,2,27.1,20,0
Littoraria ardouiniana,3,2,29.7,22,0
Littoraria ardouiniana,3,2,32.6,22,2
Littoraria ardouiniana,3,2,35.5,21,1
Littoraria ardouiniana,3,2,38,24,0
Littoraria ardouiniana,3,2,41.2,22,0
Littoraria ardouiniana,3,2,44.6,20,3
Littoraria ardouiniana,3,2,47.5,0,20
Littoraria ardouiniana,3,2,50.7,0,21
Littoraria ardouiniana,3,2,53.6,0,20
Littoraria ardouiniana,3,2,27,23,0
Littoraria ardouiniana,3,2,29.4,24,0
Littoraria ardouiniana,3,2,32.7,20,0
Littoraria ardouiniana,3,2,35.7,23,0
Littoraria ardouiniana,3,2,38.2,21,0
Littoraria ardouiniana,3,2,40.9,21,0
Littoraria ardouiniana,3,2,44.2,19,3
Littoraria ardouiniana,3,2,47.2,0,21
Littoraria ardouiniana,3,2,50.6,0,20
Littoraria ardouiniana,3,2,53.6,0,23
Littoraria ardouiniana,3,2,26.8,22,0
Littoraria ardouiniana,3,2,29.8,22,1
Littoraria ardouiniana,3,2,32.6,22,0
Littoraria ardouiniana,3,2,35.3,21,0
Littoraria ardouiniana,3,2,38.3,23,0
Littoraria ardouiniana,3,2,41.3,24,0
Littoraria ardouiniana,3,2,44.4,21,2
Littoraria ardouiniana,3,2,47.5,0,22
Littoraria ardouiniana,3,2,50.7,0,24
Littoraria ardouiniana,3,2,53.3,0,23
Littoraria melanostoma,3,1,28.2,22,0
Littoraria melanostoma,3,1,31.2,19,0
Littoraria melanostoma,3,1,34.2,22,0
Littoraria melanostoma,3,1,36.9,22,0
Littoraria melanostoma,3,1,40,19,0
Littoraria melanostoma,3,1,42.8,21,0
Littoraria melanostoma,3,1,45.7,0,20
Littoraria melanostoma,3,1,48.7,0,18
Littoraria melanostoma,3,1,51.4,0,22
Littoraria melanostoma,3,1,55.1,0,20
Littoraria melanostoma,3,1,28,23,0
Littoraria melanostoma,3,1,31.5,23,0
Littoraria melanostoma,3,1,34.1,18,0
